Natasha and Mia screamed.	Natasha screamed.
Natasha and Mia screamed.	Mia screamed.
Natasha and Mia screamed.	Natasha screamed.
Natasha and Mia screamed.	Mia screamed.
Jenny and Natasha laughed.	Jenny laughed.
Jenny and Natasha laughed.	Natasha laughed.
Jenny and Natasha laughed.	Jenny laughed.
Jenny and Natasha laughed.	Natasha laughed.
Lilian and Tanaka got arrested.	Lilian got arrested.
Lilian and Tanaka got arrested.	Tanaka got arrested.
Lilian and Tanaka got arrested.	Lilian got arrested.
Lilian and Tanaka got arrested.	Tanaka got arrested.
Mary and Jenny were hungry.	Mary was hungry.
Mary and Jenny were hungry.	Jenny was hungry.
Mary and Jenny were hungry.	Mary was hungry.
Mary and Jenny were hungry.	Jenny was hungry.
Zoe and Lin wore a dress.	Zoe wore a dress.
Zoe and Lin wore a dress.	Lin wore a dress.
Zoe and Lin wore a dress.	Zoe wore a dress.
Zoe and Lin wore a dress.	Lin wore a dress.
the puppy and the fox barked.	the puppy barked.
the puppy and the fox barked.	the fox barked.
the puppy and the fox barked.	the puppy barked.
the puppy and the fox barked.	the fox barked.
Tanaka and Lilian got covid.	Tanaka got covid.
Tanaka and Lilian got covid.	Lilian got covid.
Tanaka and Lilian got covid.	Tanaka got covid.
Tanaka and Lilian got covid.	Lilian got covid.
Jenny and Cilla were pregnant.	Jenny was pregnant.
Jenny and Cilla were pregnant.	Cilla was pregnant.
Jenny and Cilla were pregnant.	Jenny was pregnant.
Jenny and Cilla were pregnant.	Cilla was pregnant.
Jenny and Lin got vaccinated.	Jenny got vaccinated.
Jenny and Lin got vaccinated.	Lin got vaccinated.
Jenny and Lin got vaccinated.	Jenny got vaccinated.
Jenny and Lin got vaccinated.	Lin got vaccinated.
Bob and Cilla watched a movie.	Bob watched a movie.
Bob and Cilla watched a movie.	Cilla watched a movie.
Bob and Cilla watched a movie.	Bob watched a movie.
Bob and Cilla watched a movie.	Cilla watched a movie.
Jenny and Zoe took a bus.	Jenny took a bus.
Jenny and Zoe took a bus.	Zoe took a bus.
Jenny and Zoe took a bus.	Jenny took a bus.
Jenny and Zoe took a bus.	Zoe took a bus.
Bob and Lin had a headache.	Bob had a headache.
Bob and Lin had a headache.	Lin had a headache.
Bob and Lin had a headache.	Bob had a headache.
Bob and Lin had a headache.	Lin had a headache.
the warship and the fence were wiped out.	the warship was wiped out.
the warship and the fence were wiped out.	the fence was wiped out.
the warship and the fence were wiped out.	the warship was wiped out.
the warship and the fence were wiped out.	the fence was wiped out.
Natasha and Lilian wore a mask.	Natasha wore a mask.
Natasha and Lilian wore a mask.	Lilian wore a mask.
Natasha and Lilian wore a mask.	Natasha wore a mask.
Natasha and Lilian wore a mask.	Lilian wore a mask.
Lilian and Jenny ran a fever.	Lilian ran a fever.
Lilian and Jenny ran a fever.	Jenny ran a fever.
Lilian and Jenny ran a fever.	Lilian ran a fever.
Lilian and Jenny ran a fever.	Jenny ran a fever.
Natasha and Lin were sad.	Natasha was sad.
Natasha and Lin were sad.	Lin was sad.
Natasha and Lin were sad.	Natasha was sad.
Natasha and Lin were sad.	Lin was sad.
Lin and Lilian blew a whistle.	Lin blew a whistle.
Lin and Lilian blew a whistle.	Lilian blew a whistle.
Lin and Lilian blew a whistle.	Lin blew a whistle.
Lin and Lilian blew a whistle.	Lilian blew a whistle.
Tanaka and Lilian got up early.	Tanaka got up early.
Tanaka and Lilian got up early.	Lilian got up early.
Tanaka and Lilian got up early.	Tanaka got up early.
Tanaka and Lilian got up early.	Lilian got up early.
the puppy and the seal watched the moon.	the puppy watched the moon.
the puppy and the seal watched the moon.	the seal watched the moon.
the puppy and the seal watched the moon.	the puppy watched the moon.
the puppy and the seal watched the moon.	the seal watched the moon.
Lilian and Jenny sneezed.	Lilian sneezed.
Lilian and Jenny sneezed.	Jenny sneezed.
Lilian and Jenny sneezed.	Lilian sneezed.
Lilian and Jenny sneezed.	Jenny sneezed.
Tanaka and Lilian died from their wounds.	Tanaka died from their wounds.
Tanaka and Lilian died from their wounds.	Lilian died from their wounds.
Tanaka and Lilian died from their wounds.	Tanaka died from their wounds.
Tanaka and Lilian died from their wounds.	Lilian died from their wounds.
Zoe and Tanaka took a break.	Zoe took a break.
Zoe and Tanaka took a break.	Tanaka took a break.
Zoe and Tanaka took a break.	Zoe took a break.
Zoe and Tanaka took a break.	Tanaka took a break.
Cilla and Bob were full.	Cilla was full.
Cilla and Bob were full.	Bob was full.
Cilla and Bob were full.	Cilla was full.
Cilla and Bob were full.	Bob was full.
Lin and Mary were quite tired now.	Lin was quite tired now.
Lin and Mary were quite tired now.	Mary was quite tired now.
Lin and Mary were quite tired now.	Lin was quite tired now.
Lin and Mary were quite tired now.	Mary was quite tired now.
Natasha and Lin arrived in Paris.	Natasha arrived in Paris.
Natasha and Lin arrived in Paris.	Lin arrived in Paris.
Natasha and Lin arrived in Paris.	Natasha arrived in Paris.
Natasha and Lin arrived in Paris.	Lin arrived in Paris.
Cilla and Bob heard a voice.	Cilla heard a voice.
Cilla and Bob heard a voice.	Bob heard a voice.
Cilla and Bob heard a voice.	Cilla heard a voice.
Cilla and Bob heard a voice.	Bob heard a voice.
Lin and Mary were blind.	Lin was blind.
Lin and Mary were blind.	Mary was blind.
Lin and Mary were blind.	Lin was blind.
Lin and Mary were blind.	Mary was blind.
Lilian and Natasha were asleep.	Lilian was asleep.
Lilian and Natasha were asleep.	Natasha was asleep.
Lilian and Natasha were asleep.	Lilian was asleep.
Lilian and Natasha were asleep.	Natasha was asleep.
Zoe and Mia slept for hours.	Zoe slept for hours.
Zoe and Mia slept for hours.	Mia slept for hours.
Zoe and Mia slept for hours.	Zoe slept for hours.
Zoe and Mia slept for hours.	Mia slept for hours.
the tank and the aircraft malfunctioned.	the tank malfunctioned.
the tank and the aircraft malfunctioned.	the aircraft malfunctioned.
the tank and the aircraft malfunctioned.	the tank malfunctioned.
the tank and the aircraft malfunctioned.	the aircraft malfunctioned.
Cilla and Mia smiled at her.	Cilla smiled at her.
Cilla and Mia smiled at her.	Mia smiled at her.
Cilla and Mia smiled at her.	Cilla smiled at her.
Cilla and Mia smiled at her.	Mia smiled at her.
Bob and Cilla frowned upon it.	Bob frowned upon it.
Bob and Cilla frowned upon it.	Cilla frowned upon it.
Bob and Cilla frowned upon it.	Bob frowned upon it.
Bob and Cilla frowned upon it.	Cilla frowned upon it.
Lin and Natasha visited a town.	Lin visited a town.
Lin and Natasha visited a town.	Natasha visited a town.
Lin and Natasha visited a town.	Lin visited a town.
Lin and Natasha visited a town.	Natasha visited a town.
Jenny and Natasha disagreed with him.	Jenny disagreed with him.
Jenny and Natasha disagreed with him.	Natasha disagreed with him.
Jenny and Natasha disagreed with him.	Jenny disagreed with him.
Jenny and Natasha disagreed with him.	Natasha disagreed with him.
Bob and Tanaka were surprised.	Bob was surprised.
Bob and Tanaka were surprised.	Tanaka was surprised.
Bob and Tanaka were surprised.	Bob was surprised.
Bob and Tanaka were surprised.	Tanaka was surprised.
Mia and Lin took a breath.	Mia took a breath.
Mia and Lin took a breath.	Lin took a breath.
Mia and Lin took a breath.	Mia took a breath.
Mia and Lin took a breath.	Lin took a breath.
the tank and the aircraft had been dismantled.	the tank had been dismantled.
the tank and the aircraft had been dismantled.	the aircraft had been dismantled.
the tank and the aircraft had been dismantled.	the tank had been dismantled.
the tank and the aircraft had been dismantled.	the aircraft had been dismantled.
Natasha and Jenny were outside the building.	Natasha was outside the building.
Natasha and Jenny were outside the building.	Jenny was outside the building.
Natasha and Jenny were outside the building.	Natasha was outside the building.
Natasha and Jenny were outside the building.	Jenny was outside the building.
the fox and the puppy migrated to the lakeside.	the fox migrated to the lakeside.
the fox and the puppy migrated to the lakeside.	the puppy migrated to the lakeside.
the fox and the puppy migrated to the lakeside.	the fox migrated to the lakeside.
the fox and the puppy migrated to the lakeside.	the puppy migrated to the lakeside.
the puppy and the fox had shifted their positions slightly.	the puppy had shifted its position slightly.
the puppy and the fox had shifted their positions slightly.	the fox had shifted its position slightly.
the puppy and the fox had shifted their positions slightly.	the puppy had shifted its position slightly.
the puppy and the fox had shifted their positions slightly.	the fox had shifted its position slightly.
Zoe and Mia were given awards for their bravery.	Zoe was given an award for their bravery.
Zoe and Mia were given awards for their bravery.	Mia was given an award for their bravery.
Zoe and Mia were given awards for their bravery.	Zoe was given an award for their bravery.
Zoe and Mia were given awards for their bravery.	Mia was given an award for their bravery.
